CodigoLocalidad,CodigoRecinto,CodigoMesa,opcion,conteo
3619,25078,105524,LIBRE,20
3619,25078,105534,PDC,139
3619,25078,105534,LIBRE,21
3619,25078,105594,PDC,120
3619,25078,105594,LIBRE,21
3619,25078,105614,PDC,110
3619,25078,105614,LIBRE,26
3619,25079,105644,PDC,125
3619,25079,105644,LIBRE,25
3619,25079,105664,PDC,81
3619,25079,105664,LIBRE,41
3619,25079,105704,PDC,109
3619,25079,105704,LIBRE,37
3619,25079,105714,PDC,101
3619,25079,105714,LIBRE,22
3619,25200,105734,PDC,149
3619,25200,105734,LIBRE,22
3619,25200,105754,PDC,157
3619,25200,105754,LIBRE,12
3619,25201,105934,PDC,118
3619,25201,105934,LIBRE,50
3619,25201,105944,PDC,140
3619,25201,105944,LIBRE,33
3619,25202,105974,PDC,138
3619,25202,105974,LIBRE,20
3619,25202,105984,PDC,114
3619,25202,105984,LIBRE,20
3619,25202,106014,PDC,130
3619,25202,106014,LIBRE,14
3619,25202,106024,PDC,112
3619,25202,106024,LIBRE,17
3619,25202,106034,PDC,126
3619,25202,106034,LIBRE,14
3619,25202,106044,PDC,141
3619,25202,106044,LIBRE,32
3619,25202,106064,PDC,104
3619,25202,106064,LIBRE,14
3619,25202,106074,PDC,118
3619,25202,106074,LIBRE,28
3619,25202,106104,PDC,161
3619,25202,106104,LIBRE,7
3619,25202,106114,PDC,123
3619,25202,106114,LIBRE,22
3619,25202,106124,PDC,127
3619,25202,106124,LIBRE,21
3619,25204,106144,PDC,135
3619,25204,106144,LIBRE,19
3619,25204,106154,PDC,126
3619,25204,106154,LIBRE,13
3619,25204,106164,PDC,119
3619,25204,106164,LIBRE,21
3619,25204,106174,PDC,109
3619,25204,106174,LIBRE,23
3619,25204,106184,PDC,98
3619,25204,106184,LIBRE,13
3619,25204,106204,PDC,78
3619,25204,106204,LIBRE,19
3619,25204,106234,PDC,115
3619,25204,106234,LIBRE,19
3619,25204,106244,PDC,110
3619,25204,106244,LIBRE,26
3619,25204,106264,PDC,136
3619,25204,106264,LIBRE,14
3619,25205,106284,PDC,131
3619,25205,106284,LIBRE,32
3619,25305,106374,PDC,141
3619,25305,106374,LIBRE,25
3619,25305,106384,PDC,137
3619,25305,106384,LIBRE,38
3619,25305,106414,PDC,159
3619,25305,106414,LIBRE,12
3619,25305,106424,PDC,127
3619,25305,106424,LIBRE,21
3619,25305,106444,PDC,156
3619,25305,106444,LIBRE,14
3619,25305,106454,PDC,132
3619,25305,106454,LIBRE,30
3619,25305,106484,PDC,40
3619,25305,106484,LIBRE,6
3619,25305,106524,PDC,142
3619,25305,106524,LIBRE,16
3619,25305,106534,PDC,128
3619,25305,106534,LIBRE,27
3619,25305,106544,PDC,139
3619,25305,106544,LIBRE,24
3619,26123,106644,PDC,118
3619,26123,106644,LIBRE,35
3619,26123,106654,PDC,58
3619,26123,106654,LIBRE,13
3619,26123,106674,PDC,160
3619,26123,106674,LIBRE,26
3619,26123,106714,PDC,148
3619,26123,106714,LIBRE,31
4151,26121,106774,PDC,107
4151,26121,106774,LIBRE,16
4151,26122,106804,PDC,150
4151,26122,106804,LIBRE,21
4386,26098,106914,PDC,68
4386,26098,106914,LIBRE,3
4386,26098,106924,PDC,171
4386,26098,106924,LIBRE,21
4386,26098,106934,PDC,184
4386,26098,106934,LIBRE,13
4387,26099,106954,PDC,177
4387,26099,106954,LIBRE,10
4387,26099,106964,PDC,165
4387,26099,106964,LIBRE,12
4387,26099,106974,PDC,177
4387,26099,106974,LIBRE,12
4388,26100,106994,PDC,134
4388,26100,106994,LIBRE,12
3776,25101,107034,PDC,6
3776,25101,107034,LIBRE,40
3779,25104,107114,PDC,78
3779,25104,107114,LIBRE,116
3779,25104,107204,PDC,76
3779,25104,107204,LIBRE,120
3779,25104,107224,PDC,59
3779,25104,107224,LIBRE,124
3779,25104,107234,PDC,68
3779,25104,107234,LIBRE,93
3779,25104,107244,PDC,79
3779,25104,107244,LIBRE,120
3779,25104,107274,PDC,61
3779,25104,107274,LIBRE,131
3779,25104,107304,PDC,81
