CodigoLocalidad,CodigoRecinto,CodigoMesa,CodigoPais,NombrePais,CodigoDepartamento,NombreDepartamento,CodigoCircunscripcionU,CodigoCircunscripcionE,CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,NombreLocalidad,NombreRecinto,NumeroMesa
4134,25183,102854,11,Argentina,10,Buenos Aires,0,0,3,La Matanza,1,La Matanza,González Catán,Escuela Secundaria Nº51,6
4134,25183,102864,11,Argentina,10,Buenos Aires,0,0,3,La Matanza,1,La Matanza,González Catán,Escuela Secundaria Nº51,7
4135,25185,103044,11,Argentina,10,Buenos Aires,0,0,4,Esteban Echeverría,1,Esteban Echeverría,Nueve de Abril,Escuela De Educación Primaria N°16 República Francesa,7
4135,25185,103074,11,Argentina,10,Buenos Aires,0,0,4,Esteban Echeverría,1,Esteban Echeverría,Nueve de Abril,Escuela De Educación Primaria N°16 República Francesa,10
4136,25062,103104,11,Argentina,10,Buenos Aires,0,0,5,Lomas de Zamora,1,Lomas de Zamora,Ingeniero Budge,Escuela EGB Nro. 12 Primera Junta,4
4136,25062,103164,11,Argentina,10,Buenos Aires,0,0,5,Lomas de Zamora,1,Lomas de Zamora,Ingeniero Budge,Escuela EGB Nro. 12 Primera Junta,1
4139,25186,103414,11,Argentina,10,Buenos Aires,0,0,7,Quilmes,1,Quilmes,Ezpeleta,Esc Primaria Nro 52 Gral. Bartolome Mitre.,1
4140,25187,103624,11,Argentina,10,Buenos Aires,0,0,8,La Plata,1,La Plata,La Plata,Escuela Primaria N°5 Cnl. De Marina Tomas Espora,3
4140,25187,103664,11,Argentina,10,Buenos Aires,0,0,8,La Plata,1,La Plata,La Plata,Escuela Primaria N°5 Cnl. De Marina Tomas Espora,7
4141,25146,103814,11,Argentina,10,Buenos Aires,0,0,9,Escobar,1,Escobar,Belén de Escobar,E.P N°28 Juan Jose Castelli,6
4142,25147,103954,11,Argentina,10,Buenos Aires,0,0,10,Pilar,1,Pilar,Pilar,Escuela De Educación Primaria Nº26 Lorenzo López,12
4371,26083,104054,11,Argentina,10,Buenos Aires,0,0,14,Pinamar,1,Pinamar,Pinamar,Escuela Primaria N 7 de Ostende Pinamar,3
4371,26083,104064,11,Argentina,10,Buenos Aires,0,0,14,Pinamar,1,Pinamar,Pinamar,Escuela Primaria N 7 de Ostende Pinamar,4
4143,25148,104224,11,Argentina,11,Mendoza,0,0,3,Maipú,1,Maipú,Rodeo del Medio,Escuela “John Fitzgerald Kennedy”,1
4143,25148,104264,11,Argentina,11,Mendoza,0,0,3,Maipú,1,Maipú,Rodeo del Medio,Escuela “John Fitzgerald Kennedy”,5
4143,25148,104274,11,Argentina,11,Mendoza,0,0,3,Maipú,1,Maipú,Rodeo del Medio,Escuela “John Fitzgerald Kennedy”,6
4143,25148,104324,11,Argentina,11,Mendoza,0,0,3,Maipú,1,Maipú,Rodeo del Medio,Escuela “John Fitzgerald Kennedy”,11
4143,25148,104334,11,Argentina,11,Mendoza,0,0,3,Maipú,1,Maipú,Rodeo del Medio,Escuela “John Fitzgerald Kennedy”,12
4144,25149,104364,11,Argentina,11,Mendoza,0,0,4,Luján de Cuyo,1,Luján de Cuyo,Ugarteche,Escuela Luis Baldini,3
3613,25066,104544,11,Argentina,12,Jujuy,0,0,3,Dr. Manuel Belgrano,1,San Salvador de Jujuy,San Salvador de Jujuy,Escuela Normal Superior Juan Ignacio Gorriti,5
3613,25066,104564,11,Argentina,12,Jujuy,0,0,3,Dr. Manuel Belgrano,1,San Salvador de Jujuy,San Salvador de Jujuy,Escuela Normal Superior Juan Ignacio Gorriti,19
3613,25066,104664,11,Argentina,12,Jujuy,0,0,3,Dr. Manuel Belgrano,1,San Salvador de Jujuy,San Salvador de Jujuy,Escuela Normal Superior Juan Ignacio Gorriti,7
4376,26088,104744,11,Argentina,12,Jujuy,0,0,5,El Carmen,1,Perico,Perico,Centro Integrador Comunitario (CIC),1
4376,26088,104754,11,Argentina,12,Jujuy,0,0,5,El Carmen,1,Perico,Perico,Centro Integrador Comunitario (CIC),2
4377,26089,104764,11,Argentina,12,Jujuy,0,0,6,San Pedro,1,San Pedro de Jujuy,San Pedro,Centro Integrador Comunitario (CIC),1
3762,25154,104924,11,Argentina,21,Cordoba,0,0,5,Capital,1,Cordoba,Cordoba,CPC Villa El Libertador,1
4374,26086,104974,11,Argentina,21,Cordoba,0,0,8,San Javier,1,Villa Dolores,Villa Dolores,C.I.C. Dispensario,1
3763,25088,104994,11,Argentina,22,Salta,0,0,6,Capital,1,Salta,Salta,Colegio Nacional Salta N° 5080,2
3763,25088,105014,11,Argentina,22,Salta,0,0,6,Capital,1,Salta,Salta,Colegio Nacional Salta N° 5080,4
3765,25090,105094,11,Argentina,22,Salta,0,0,8,Orán,1,San Ramón de la Nueva Orán,San Ramón de la Nueva Orán,Escuela De Comercio Julio Cortez Nº 5091,1
3766,25091,105164,11,Argentina,23,Rio Negro,0,0,7,Adolfo Alsina,1,Viedma,Viedma,Universidad Nacional De Rio Negro,3
4073,25303,105204,11,Argentina,85,Chubut,0,0,8,Escalante,1,Comodoro Rivadavia,Comodoro Rivadavia,Centro Cultural Km 8,3
4073,25303,105234,11,Argentina,85,Chubut,0,0,8,Escalante,1,Comodoro Rivadavia,Comodoro Rivadavia,Centro Cultural Km 8,6
4375,26087,105254,11,Argentina,87,Corrientes,0,0,1,Lavalle,1,Santa Lucía,Santa Lucía,Centro Integrador Comunitario de la Municipalidad de Santa Lucia (CIC),2
4378,26183,105264,11,Argentina,88,La Rioja,0,0,1,Chilecito,1,Chilecito,Vichigasta,Salón de Jubilados de Vichigasta,1
4378,26183,105274,11,Argentina,88,La Rioja,0,0,1,Chilecito,1,Chilecito,Vichigasta,Salón de Jubilados de Vichigasta,2
4381,26093,105324,11,Argentina,90,San Juan,0,0,1,Pocito,1,Pocito,La Rinconada - Pocito,Escuela Dr. Antonio Aberastain School,1
4381,26093,105334,11,Argentina,90,San Juan,0,0,1,Pocito,1,Pocito,La Rinconada - Pocito,Escuela Dr. Antonio Aberastain School,2
4384,26096,105394,11,Argentina,92,Santa Cruz,0,0,2,Güer Aike,1,Güer Aike,Río Gallegos,Pastoral de Rio Gallegos,3
4372,32420,105464,11,Argentina,85,Chubut,0,0,9,Biedma,1,Puerto Madryn,Puerto Madryn,Escuela Municipal de Pesca Juan Demonte 2701,4
3805,25130,105484,24,Bélgica,62,Bruselas,0,0,1,Bruselas,1,Bruselas,Bruselas,Maison de Quartier Malibran,1
3619,25078,105514,34,Brasil,18,Sao Paulo,0,0,1,Sao Paulo,1,Sao Paulo,Sao Paulo,Escuela Estadual Prof. Colombo De Almeida,3
3619,25078,105534,34,Brasil,18,Sao Paulo,0,0,1,Sao Paulo,1,Sao Paulo,Sao Paulo,Escuela Estadual Prof. Colombo De Almeida,5
3619,25078,105614,34,Brasil,18,Sao Paulo,0,0,1,Sao Paulo,1,Sao Paulo,Sao Paulo,Escuela Estadual Prof. Colombo De Almeida,11
3619,25079,105644,34,Brasil,18,Sao Paulo,0,0,1,Sao Paulo,1,Sao Paulo,Sao Paulo,Esc. Mun. Edu.Fundamental Vereador Antonio Sampaio,5
3619,25079,105704,34,Brasil,18,Sao Paulo,0,0,1,Sao Paulo,1,Sao Paulo,Sao Paulo,Esc. Mun. Edu.Fundamental Vereador Antonio Sampaio,2
3619,25079,105714,34,Brasil,18,Sao Paulo,0,0,1,Sao Paulo,1,Sao Paulo,Sao Paulo,Esc. Mun. Edu.Fundamental Vereador Antonio Sampaio,3
